"etsy_listing_id","mensskull_internal_product_id","sku","mapping_status","duplicate_sku_conflicts"
"1851967837","cmraak2de024cy4w11uyg2dic","SJ32","MATCHED","UNKNOWN"
"1855584125","cmraaj4cl00y9y4w1dp6bn8fm","SN49","MATCHED","UNKNOWN"
"1860571435","cmraakc3d02gly4w1bmy7lwjp","SB73","MATCHED","UNKNOWN"
"1865435490","cmraajnrw01m7y4w1np8thaxc","SP189","DUPLICATE_SKU_CONFLICT","SP189"
"1871739460","cmrad3pc405try4yd5nfxm2bi","SB126","DUPLICATE_SKU_CONFLICT","SB126"
"1876946944","cmrad39y2059cy4yd4tjnzsu5","SP629","MATCHED","UNKNOWN"
"1880157304","cmrad349v052hy4ydjg3flop4","SP218","DUPLICATE_SKU_CONFLICT","SP218"
"1883023114","cmrad1quo03eey4yd5wiglj1c","SSB128","MATCHED","UNKNOWN"
"1887413314","cmrad27uw03z5y4ydfm5zu8xh","SP268","MATCHED","UNKNOWN"
"1889571536","cmrad230503t7y4ydqmg2gls6","SP300","MATCHED","UNKNOWN"
"1891104150","cmrad1xbx03m3y4yd2dmsmx11","SB189","MATCHED","UNKNOWN"
"1891872284","cmrad1vpj03k6y4ydzcyzfo4l","SSB99","MATCHED","UNKNOWN"
"1892386117","cmraaj96t0149y4w1zjsok78f","SK01","MATCHED","UNKNOWN"
"1893979797","cmrad35w1054fy4yd7g8sfhct","SB69","MATCHED","UNKNOWN"
"1901580733","cmrad28o90406y4ydb3rkmxns","ACS06","DUPLICATE_SKU_CONFLICT","ACS06"
"1901648345","cmrad268u03x4y4ydy5gvalc1","SB108","MATCHED","UNKNOWN"
"1903763579","cmrad2zew04x3y4ydq5pwljjr","SB126","DUPLICATE_SKU_CONFLICT","SB126"
"1903822437","cmrad1rnt03fey4ydu58hcncl","SB88","MATCHED","UNKNOWN"
"1903902091","cmrad36p20557y4yd5b83q4tg","SJ76","MATCHED","UNKNOWN"
"1904326413","cmrad1yyo03o1y4ydn1i3b2g7","SB129","MATCHED","UNKNOWN"
"4295410951","cmrad37ij0567y4ydhzvkvn0j","SP84","MATCHED","UNKNOWN"
"4296871750","cmraak81a02bby4w1qmnqmuhd","SN26","MATCHED","UNKNOWN"
"4298603550","cmrad1p8503coy4ydpff8w3mi","SJ112","DUPLICATE_SKU_CONFLICT","SJ112"
"4301347002","cmrad2vcx04s1y4ydx7g48lkh","SD26","MATCHED","UNKNOWN"
"4301414719","cmraajr0m01qby4w1p8omd46b","SD27","MATCHED","UNKNOWN"
"4301443816","cmrad1h4r031uy4ydpq9oc59o","SD28","MATCHED","UNKNOWN"
"4304599857","cmraajvvm01wly4w10kqtbhtd","SN17","MATCHED","UNKNOWN"
